EU Spec Season 4 Race 1,Football Stadium,41,82.993,SFPV,UnitedStates,TBSSpec,2020/04/30
TBS EU Spec Season 5 Race 1,Football Stadium,35,54.690,SFPV,UnitedStates,Solleva,2020/07/14
TBS EU Spec Series 4 FINAL,Dynamic Weather,45,82.934,SFPV,UnitedStates,TBSSpec,2020/06/25
TBS EU Spec Series 4 Race 2,Empty Scene Day,999,999.999,SFPV,NO_DATA
TBS EU Spec Series 4 Race 3,IndoorGoKart,12,89.576,SFPV,UnitedStates,TBSSpec,2020/05/21
TBS EU Spec Series 4 Race 4,Empty Scene Day,21,76.081,SFPV,UnitedStates,Five33Switchback,2020/05/28
TBS EU Spec Series 4 Race 5,Dynamic Weather,155,106.789,SFPV,UnitedStates,TBSSpec,2020/06/04
TBS EU Spec Series 4 Race 7,Football Stadium,999,999.999,SFPV,NO_DATA
TBS EU Spec Series 5 FINAL,Dynamic Weather,24,76.931,SFPV,UnitedStates,TBSSpec,2020/09/10
TBS EU Spec Series 5 Losers Final,Dynamic Weather,24,73.193,SFPV,UnitedStates,TBSSpec,2021/11/11
TBS EU Spec Series 5 Race 3,Dynamic Weather,26,69.756,SFPV,UnitedStates,TBSSpec,2020/07/23
TBS EU Spec Series 5 Race 4,Football Stadium,999,999.999,SFPV,NO_DATA
TBS EU Spec Series 5 Race 5,NEC Birmingham,999,999.999,SFPV,NO_DATA
TBS EU Spec Series 5 Race 6,Dynamic Weather,17,62.103,SFPV,UnitedStates,TBSSpec,2020/08/20
TBS EU Spec Series 5 Race 7,IndoorGoKart,32,72.207,SFPV,UnitedStates,TBSSpec,2020/08/27
TBS EU Spec Series 9 Final,Dynamic Weather,28,59.856,SFPV,UnitedStates,Solleva,2021/11/15
TBS EU Spec Series 9 Losers Final,Dynamic Weather,51,66.340,SFPV,UnitedStates,TBSSpec,2021/11/07
TBS EU Spec Series 9 Race 1,Football Stadium,43,56.328,SFPV,UnitedStates,TBSSpec,2021/09/16
TBS EU Spec Series 9 Race 2,Dynamic Weather,43,55.932,SFPV,UnitedStates,TBSSpec,2021/09/16
TBS EU Spec Series 9 Race 3,Empty Scene Day,14,54.877,SFPV,UnitedStates,Ossa,2021/10/04
TBS EU Spec Series 9 Race 4,Football Stadium,21,62.869,SFPV,UnitedStates,TBSSpec,2021/10/01
TBS EU Spec Series 9 Race 5,Empty Scene Day,999,999.999,SFPV,NO_DATA
TBS EU Spec Series 9 Race 6,Empty Scene Day,29,64.732,SFPV,UnitedStates,TBSSpec,2021/10/21
TBS EU Spec Series 9 Race 7,NEC Birmingham,999,999.999,SFPV,NO_DATA
VRL 7 Race 4,Dynamic Weather,32,85.683,SFPV,UnitedStates,Mode2Ghost,2020/12/05
VRL 7 Track 1,Future Hangar,18,93.184,SFPV,UnitedStates,Ossa,2020/10/30
VRL 7 Track 2,Future Hangar Empty,10,89.791,SFPV,UnitedStates,Ossa,2020/11/10
VRL 7 Track 3,Dynamic Weather,11,69.104,SFPV,UnitedStates,Ossa,2020/11/21
VRL 7 Track 5,Dynamic Weather,10,80.001,SFPV,UnitedStates,Ossa,2020/12/12
VRL 7 Track 6,Dynamic Weather,23,79.535,SFPV,UnitedStates,Ossa,2020/12/16
VRL7 Tryouts,Future Hangar Empty,14,90.594,SFPV,UnitedStates,Ossa,2020/10/21
VRL S9 FINALS,Dynamic Weather,16,83.345,SFPV,UnitedStates,Ossa,2023/03/23
VRL S9 T1,Dynamic Weather,13,77.140,SFPV,UnitedStates,Solleva,2023/01/19
VRL S9 T2,Dynamic Weather,12,64.834,SFPV,UnitedStates,Solleva,2023/01/27
VRL S9 T3,Dynamic Weather,9,62.479,SFPV,UnitedStates,Ossa,2023/02/04
VRL S9 T4,Dynamic Weather,7,77.272,SFPV,UnitedStates,Ossa,2023/02/07
VRL S9 T5,Dynamic Weather,10,79.856,SFPV,UnitedStates,Ossa,2023/02/24
VRL S9 T6,Dynamic Weather,15,79.457,SFPV,UnitedStates,Ossa,2023/03/01
VRL S9 T7,Dynamic Weather,18,82.153,SFPV,UnitedStates,Ossa,2023/03/10
VRL S9 T8,Dynamic Weather,18,86.497,SFPV,UnitedStates,Ossa,2023/03/18
VRL Season 7 Championships,Dynamic Weather,19,96.014,SFPV,UnitedStates,Ossa,2021/01/03
VRL Season 8 Championships,Dynamic Weather,18,70.671,SFPV,UnitedStates,Solleva,2022/02/05
VRL Season 8 Track 1,Office Complex,13,106.856,SFPV,UnitedStates,Solleva,2021/11/12
VRL Season 8 Track 2,Drift Track,11,81.658,SFPV,UnitedStates,Solleva,2021/11/20
VRL Season 8 Track 3,Night Factory 2,9,95.855,SFPV,UnitedStates,Solleva,2021/11/30
VRL Season 8 Track 4,DynamicPoly,13,103.755,SFPV,UnitedStates,Solleva,2021/12/11
VRL Season 8 Track 5,Dynamic Weather,8,91.523,SFPV,UnitedStates,Solleva,2021/12/18
VRL Season 8 Track 6,Night Factory 2,13,96.406,SFPV,UnitedStates,Solleva,2022/01/13
VRL SEASON 8 TRACK 7,Dynamic Weather,13,72.337,SFPV,UnitedStates,Solleva,2022/01/22
VRL SEASON 8 TRYOUTS,RedValley,999,999.999,SFPV,NO_DATA
VRL Season 9 Tryouts,Dynamic Weather,18,92.694,SFPV,UnitedStates,Ossa,2022/12/20
